"analysis_id","gene","distance","Z","FC","p.value","p.adj","target_gene","perturbation","significant","direction","minus_log10_fdr"
"MYH11_OE","PIP",3.00469581726721e-17,-1.62957893526155,1.16326245464892e-17,0.999999997278684,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TNNI1",3.00003316538402e-17,-1.62970252298274,1.15965498165233e-17,0.999999997282907,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","LINC02392",2.98329580044603e-17,-1.63014763162402,1.14675150759761e-17,0.999999997298066,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","RBFOX1",2.96744762898816e-17,-1.63057122970507,1.13460008644904e-17,0.99999999731242,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CLEC9A",2.95619952431409e-17,-1.63087314766492,1.12601498924155e-17,0.999999997322607,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TNFSF18",2.95075331825914e-17,-1.63101971533995,1.12186989643502e-17,0.999999997327539,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","OTOP3",2.92996943447188e-17,-1.63158136042988,1.10612158130393e-17,0.999999997346363,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ADORA3",2.91966824531628e-17,-1.63186109919271,1.09835744742573e-17,0.999999997355693,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","CLEC14A",2.90760532750155e-17,-1.63218984342561,1.08930023690065e-17,0.999999997366618,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","C1QTNF12",2.90659119578771e-17,-1.63221753853054,1.08854050430911e-17,0.999999997367537,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","TRBV28",2.9040280047931e-17,-1.63228757707846,1.08662148179628e-17,0.999999997369858,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
"MYH11_OE","ODAPH",2.84136963589697e-17,-1.6340177510168,1.04023666312186e-17,0.999999997426607,0.999999999846669,"MYH11","OE",FALSE,"Activated",6.65908135295959e-11
