"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,0.77397632138798,0.827,0.136,0,"11","OXA1L"
0,1.23667832410878,0.785,0.095,0,"11","PSMG4"
0,0.903511314402983,0.93,0.24,0,"11","SNRPC"
0,0.98816835500374,0.935,0.245,0,"11","UPP1"
0,1.32071594135669,0.783,0.093,0,"11","STK3"
0,0.829753380390014,0.931,0.241,0,"11","SSNA1"
0,1.00720339544028,0.913,0.223,0,"11","MLEC"
0,1.23348634367769,0.794,0.104,0,"11","JKAMP"
0,0.876517158073687,0.831,0.141,0,"11","TAF12"
0,0.671991405678229,0.879,0.189,0,"11","TIMM17A"
0,0.783730714435728,0.831,0.141,0,"11","DCUN1D1"
0,0.426086213276761,0.888,0.198,0,"11","SREK1IP1"
0,0.871728371331888,0.822,0.132,0,"11","SLC52A2"
0,1.01323250074847,0.956,0.266,0,"11","PSMC1"
0,0.640936325093028,0.843,0.153,0,"11","BTBD7"
0,0.749898460913268,0.871,0.181,0,"11","ITPA"
0,0.621777012146911,0.843,0.153,0,"11","LMF2"
0,1.51217049112671,0.753,0.063,0,"11","PNPLA4"
0,2.18583589371453,0.749,0.06,0,"11","PLXNA1"
0,0.5727663918883,0.877,0.188,0,"11","POLR2H"
0,0.489649032454614,0.883,0.194,0,"11","ZYX"
0,1.16242097077139,0.779,0.09,0,"11","SURF6"
0,0.513531234760985,0.875,0.186,0,"11","MRPL42"
0,0.604237945605878,0.904,0.215,0,"11","ANKLE2"
0,0.411305755269225,0.908,0.219,0,"11","SRSF1"
0,0.668118090325625,0.936,0.247,0,"11","LMAN1"
0,0.881466900759033,0.832,0.143,0,"11","ZCCHC17"
0,0.713704066482603,0.85,0.161,0,"11","IMMT"
0,1.14414630537294,0.821,0.132,0,"11","CDK4"
0,0.678575786116309,0.847,0.158,0,"11","ACTR10"
0,0.722448763163473,0.836,0.147,0,"11","CSNK2A2"
0,0.641952906832243,0.857,0.168,0,"11","CCDC124"
0,0.853543276745289,0.829,0.14,0,"11","DLGAP4"
0,0.342611839385237,0.852,0.163,0,"11","IRAK1"
0,0.91979228018239,0.902,0.214,0,"11","C1orf122"
0,1.790584520433,0.759,0.071,0,"11","OSMR"
0,1.05479536861997,0.798,0.11,0,"11","MOCS2"
0,0.647024814350392,0.893,0.205,0,"11","BUD23"
0,0.646747553911801,0.806,0.118,0,"11","TTF1"
0,0.396135106264511,0.905,0.217,0,"11","GLRX3"
0,0.601797193709344,0.913,0.225,0,"11","MLF2"
0,1.10927702639766,0.771,0.083,0,"11","SMUG1"
0,0.745044231393882,0.812,0.124,0,"11","NELFCD"
0,0.467092478904287,0.883,0.195,0,"11","HADHB"
0,1.35578580605908,0.973,0.285,0,"11","KDELR2"
0,1.76372841588081,0.749,0.061,0,"11","FZD6"
0,0.733948686872474,0.825,0.137,0,"11","GAPVD1"
0,1.47716864026774,0.98,0.292,0,"11","TMED10"
0,0.897442473180016,0.817,0.129,0,"11","ARL2BP"
0,1.02489203410838,0.877,0.189,0,"11","ALYREF"
0,1.78197276530734,0.789,0.102,0,"11","ERRFI1"
0,0.701674282545899,0.861,0.174,0,"11","MRPL55"
0,0.852767104657795,0.915,0.228,0,"11","PSMD1"
0,1.0207335137325,0.884,0.197,0,"11","PTTG1"
0,0.936503089766014,0.933,0.246,0,"11","TMEM14B"
0,0.45452251535489,0.862,0.175,0,"11","PDCD2"
0,1.52916144597264,0.769,0.082,0,"11","PTRH1"
0,1.63945625670876,0.761,0.074,0,"11","WDR34"
0,0.521305401348507,0.913,0.226,0,"11","ECHS1"
0,1.01542075416322,0.79,0.103,0,"11","ISCA2"
0,1.04224564066813,0.785,0.098,0,"11","GIT1"
0,0.770339260452297,0.894,0.207,0,"11","ID1"
0,0.492163898886046,0.826,0.139,0,"11","BAG5"
0,0.427713617508941,0.836,0.149,0,"11","CHP1"
0,0.584227177085831,0.843,0.156,0,"11","HEXA"
0,1.00917938121882,0.826,0.139,0,"11","CISD3"
0,1.35644693416461,0.778,0.092,0,"11","LRP1"
0,0.869327195837417,0.789,0.103,0,"11","SCO1"
0,1.00310087381605,0.779,0.093,0,"11","FAM210B"
0,0.820004728602034,0.815,0.129,0,"11","MTX1"
0,1.02948824464833,0.815,0.129,0,"11","SMC6"
0,0.846402428067264,0.952,0.266,0,"11","HADHA"
0,1.55546097172486,0.748,0.062,0,"11","EXOC6B"
0,0.780031900287179,0.864,0.178,0,"11","BOLA3"
0,0.725518320906558,0.843,0.157,0,"11","RRP36"
0,0.614893801447932,0.842,0.156,0,"11","EIF2AK1"
0,0.432151165570573,0.875,0.189,0,"11","BNIP3L"
