"spatial_sample_id","permutation_id","permuted_median_distance","observed_median_distance"
"All_spots",385,207.793166393893,222.389298303673
"All_spots",386,208.165799304305,222.389298303673
"All_spots",387,212.809774211618,222.389298303673
"All_spots",388,202.871880752361,222.389298303673
"All_spots",389,208.542561603141,222.389298303673
"All_spots",390,210.618137870412,222.389298303673
"All_spots",391,204.244950977986,222.389298303673
"All_spots",392,205.197465871292,222.389298303673
"All_spots",393,211.539594402561,222.389298303673
"All_spots",394,186.603858481008,222.389298303673
"All_spots",395,205.156038175824,222.389298303673
"All_spots",396,207.424685126915,222.389298303673
"All_spots",397,207.793166393893,222.389298303673
"All_spots",398,198.929635801205,222.389298303673
"All_spots",399,211.697897958388,222.389298303673
"All_spots",400,207.634293891929,222.389298303673
"All_spots",401,210.090456708533,222.389298303673
"All_spots",402,201.955440629858,222.389298303673
"All_spots",403,200.179919072818,222.389298303673
"All_spots",404,204.156802482798,222.389298303673
"All_spots",405,198.406149098258,222.389298303673
"All_spots",406,204.156802482798,222.389298303673
"All_spots",407,199.722307216795,222.389298303673
"All_spots",408,199.251097863977,222.389298303673
"All_spots",409,209.504176569347,222.389298303673
"All_spots",410,203.393706883964,222.389298303673
"All_spots",411,199.323857076869,222.389298303673
"All_spots",412,196.173392691262,222.389298303673
"All_spots",413,204.120062708201,222.389298303673
"All_spots",414,197.101496696499,222.389298303673
"All_spots",415,215.127868952398,222.389298303673
"All_spots",416,205.119477378429,222.389298303673
"All_spots",417,204.592277469117,222.389298303673
"All_spots",418,199.672231419394,222.389298303673
"All_spots",419,185,222.389298303673
"All_spots",420,211.879682839106,222.389298303673
"All_spots",421,204.313484625954,222.389298303673
"All_spots",422,198.929635801205,222.389298303673
"All_spots",423,185.067555233217,222.389298303673
"All_spots",424,204.156802482798,222.389298303673
"All_spots",425,178.21616088335,222.389298303673
"All_spots",426,201.03979705521,222.389298303673
"All_spots",427,211.286535302182,222.389298303673
"All_spots",428,200.262327960103,222.389298303673
"All_spots",429,200.262327960103,222.389298303673
"All_spots",430,203.789106676486,222.389298303673
"All_spots",431,201.955440629858,222.389298303673
"All_spots",432,209.504176569347,222.389298303673
"All_spots",433,179.025137899682,222.389298303673
"All_spots",434,205.119477378429,222.389298303673
"All_spots",435,206.155281280883,222.389298303673
"All_spots",436,197.448727521856,222.389298303673
"All_spots",437,207.86774641584,222.389298303673
"All_spots",438,199.672231419394,222.389298303673
"All_spots",439,208.355465491069,222.389298303673
"All_spots",440,207.634293891929,222.389298303673
"All_spots",441,205.156038175824,222.389298303673
"All_spots",442,194.288445358956,222.389298303673
"All_spots",443,204.266982158155,222.389298303673
"All_spots",444,192.626581758593,222.389298303673
"All_spots",445,206.196508214858,222.389298303673
"All_spots",446,194.465935320302,222.389298303673
"All_spots",447,178.21616088335,222.389298303673
"All_spots",448,209.84756372186,222.389298303673
"All_spots",449,205.197465871292,222.389298303673
"All_spots",450,205.119477378429,222.389298303673
"All_spots",451,196.308430791956,222.389298303673
"All_spots",452,202.474689776278,222.389298303673
"All_spots",453,206.118897726531,222.389298303673
"All_spots",454,199.323857076869,222.389298303673
"All_spots",455,207.793166393893,222.389298303673
"All_spots",456,199.722307216795,222.389298303673
"All_spots",457,205.197465871292,222.389298303673
"All_spots",458,199.323857076869,222.389298303673
"All_spots",459,201.315672514586,222.389298303673
"All_spots",460,196.847656831368,222.389298303673
"All_spots",461,204.592277469117,222.389298303673
"All_spots",462,206.196508214858,222.389298303673
"All_spots",463,193.545860198559,222.389298303673
"All_spots",464,204.156802482798,222.389298303673
"All_spots",465,184.401735349752,222.389298303673
"All_spots",466,214.189168727086,222.389298303673
"All_spots",467,204.707107839469,222.389298303673
"All_spots",468,199.323857076869,222.389298303673
"All_spots",469,199.722307216795,222.389298303673
"All_spots",470,184.613108960334,222.389298303673
"All_spots",471,196.308430791956,222.389298303673
"All_spots",472,196.173392691262,222.389298303673
"All_spots",473,185.800968781113,222.389298303673
"All_spots",474,190.128903641714,222.389298303673
"All_spots",475,199.323857076869,222.389298303673
"All_spots",476,205.197465871292,222.389298303673
"All_spots",477,204.120062708201,222.389298303673
"All_spots",478,208.355465491069,222.389298303673
"All_spots",479,204.707107839469,222.389298303673
"All_spots",480,207.992788336519,222.389298303673
"All_spots",481,176.309387157916,222.389298303673
"All_spots",482,201.03979705521,222.389298303673
"All_spots",483,192.626581758593,222.389298303673
"All_spots",484,175.641680702503,222.389298303673
"All_spots",485,205.197465871292,222.389298303673
"All_spots",486,206.155281280883,222.389298303673
"All_spots",487,175.567650778838,222.389298303673
"All_spots",488,205.104851234679,222.389298303673
"All_spots",489,204.156802482798,222.389298303673
"All_spots",490,198.385987408385,222.389298303673
"All_spots",491,205.156038175824,222.389298303673
"All_spots",492,205.156038175824,222.389298303673
"All_spots",493,211.879682839106,222.389298303673
"All_spots",494,190.128903641714,222.389298303673
"All_spots",495,199.323857076869,222.389298303673
"All_spots",496,206.155281280883,222.389298303673
"All_spots",497,193.545860198559,222.389298303673
"All_spots",498,196.758735511285,222.389298303673
"All_spots",499,205.156038175824,222.389298303673
"All_spots",500,201.201391645287,222.389298303673
"All_spots",501,184.613108960334,222.389298303673
"All_spots",502,203.120653799657,222.389298303673
"All_spots",503,204.156802482798,222.389298303673
"All_spots",504,199.722307216795,222.389298303673
