"vertex_id","UMAP_1","UMAP_2"
"Y_258",-6.81525752468627,0.607387581967976
"Y_259",-6.78480132940246,0.0156318346049938
"Y_260",-1.82844826130222,-11.4476322953429
"Y_261",-1.63027690499127,-12.7509610500752
"Y_262",9.78060961860548,-3.21566401758223
"Y_263",-1.49700250857167,-12.7204634439463
"Y_264",4.7185270042393,-2.00591301076574
"Y_265",8.36139472506893,-2.78389233530038
"Y_266",2.03994619474428,5.24822362031882
"Y_267",-1.29270299033447,-12.6396173445861
"Y_268",-2.25095876743948,-12.110063517971
"Y_269",-0.154462636116085,-12.7669064368301
"Y_270",2.68912974142458,-2.78581201673913
"Y_271",6.86910812896523,13.4348585851793
"Y_272",-5.80178575278279,1.18347795749668
"Y_273",0.489937349520046,-6.72756312430573
"Y_274",-1.89824127029013,-12.5489396414345
"Y_275",-1.38510545618144,-12.7121447646125
"Y_276",-6.30687962465993,-1.06932872606849
"Y_277",-4.59884432454877,9.54386742605884
"Y_278",-3.85028192620594,8.74594495607939
"Y_279",4.95030909539653,-2.34704511942977
"Y_280",-6.19135471070976,2.65107429384718
"Y_281",-6.95833498470782,0.352008371434704
"Y_282",7.68882719093349,-3.6728371622605
"Y_283",7.0571831583517,-5.03839968751517
"Y_284",-2.0777089430083,-12.3569494009366
"Y_285",-7.06082087478432,3.49157560807074
"Y_286",8.83467755367656,-4.09800437568831
"Y_287",-1.50241106482621,-12.5082147533393
"Y_288",-7.45669033512001,4.01280711522648
"Y_289",3.88252388257292,-5.26597264116068
"Y_290",-0.628358257751964,-12.6618936036605
"Y_291",5.01304443099497,-2.24845738499178
"Y_292",5.15906254046118,-2.11845918900962
"Y_293",1.24411782292407,2.65572123902999
"Y_294",5.04878263730092,-2.05372058549748
"Y_295",5.6969079096668,-1.89898843915432
"Y_296",7.24210931912485,-7.83159301347744
"Y_297",7.00504063579352,5.73890533313907
"Y_298",5.9603475593771,-5.64152276580029
"Y_299",-9.53172795880548,9.84275773066605
"Y_300",10.2752871968898,-2.65273273890429
"Y_301",0.171893528980763,-7.55771747685358
"Y_302",0.0474671738839297,-8.02278846830406
"Y_303",-4.59161205237272,2.42108604469888
"Y_304",-7.87241971450534,3.40706290891388
"Y_305",-9.00650301032236,10.1366499572051
"Y_306",6.92162671115271,-2.07849447273016
"Y_307",9.94850455974513,-1.63332328081616
"Y_308",3.56335715191244,3.22312055238568
"Y_309",10.2438337571417,-1.50958960268015
"Y_310",10.142232444286,-2.07376498904862
"Y_311",-6.62622079013109,0.796384351091365
"Y_312",-9.59211272371717,2.06494688045785
"Y_313",9.55013915520934,-1.14452817088925
"Y_314",10.0057118864611,-0.52728704319786
"Y_315",6.53536726411309,-2.6715306764976
"Y_316",-9.58162365630016,2.173924251092
"Y_317",10.2218265185889,-2.85760487247948
"Y_318",6.84750138401081,5.85950812896004
"Y_319",6.97477283108718,13.2903949176182
"Y_320",-9.12907723000245,2.19743341578885
"Y_321",7.76795118440308,-6.81460871189608
"Y_322",-2.77715889679887,-10.2543675975517
"Y_323",7.23389181665563,-5.1136500506775
"Y_324",9.79812799175878,-1.72083471355013
"Y_325",-7.59203021499116,3.77155566761153
"Y_326",10.0964009347296,-2.40884415755546
"Y_327",10.1361041676061,-0.308710427167331
"Y_328",-9.42979707724069,9.53193366977199
"Y_329",9.52285446862898,-0.802070733986154
"Y_330",-2.3985198010582,-10.8767907702879
"Y_331",7.15397550569895,5.59892908641744
"Y_332",-9.41363189244119,2.24855029596534
"Y_333",9.7172479214231,-1.22473323162649
"Y_334",-2.31385634039936,-10.519911674753
"Y_335",8.38173233136205,-4.18531953733883
"Y_336",-9.60050009924781,1.69027179511785
"Y_337",-9.29055978378965,10.0914754928608
"Y_338",4.9028871218314,4.92173551686959
"Y_339",-9.2078706228382,1.39588701606447
"Y_340",-9.3592010829201,1.63867938481458
"Y_341",6.2558285090326,-3.21592494343324
"Y_342",7.10125352577672,5.65852172931131
"Y_343",7.62684469683853,-6.71182309728361
"Y_344",4.16858893875156,-5.844010847288
"Y_345",6.99042730649385,-2.23005024149196
"Y_346",7.02398630127554,-2.43664477025432
"Y_347",-9.37616092719771,1.07073557684431
"Y_348",9.70968681583444,-0.748267651012459
"Y_349",-4.45354573866866,9.36882325294088
"Y_350",9.477486807474,-1.75059117069036
"Y_351",9.99100385493738,-1.4463512755126
"Y_352",-2.50773145064183,-11.9403615745257
"Y_353",6.16285828907132,-3.09930864280942
"Y_354",-2.48253628665746,-11.4893960908032
"Y_355",-9.63740361129856,1.85094837041534
"Y_356",10.2640504328512,-2.29815401440294
"Y_357",-2.42250213240695,-12.085854452897
"Y_358",6.61274419817723,-2.2571943390787
"Y_359",7.3989223377354,-3.03122916035926
"Y_360",10.3912574459773,-1.71088649076034
"Y_361",10.1687676735119,-3.0258442517354
"Y_362",9.38181001483985,-0.671440431405794
"Y_363",-9.55822897736082,1.98095147729077
"Y_364",5.25945273279348,6.06195388665274
"Y_365",-6.42315166863864,-0.61319735312476
"Y_366",-6.07543202835003,2.51962350409328
"Y_367",-4.56889129513689,-9.20352541908987
"Y_368",7.51368483771254,-5.88509862200946
"Y_369",-2.38959277322806,1.67465827997868
"Y_370",4.56984281000959,7.91493542796093
"Y_371",4.8637532364224,6.6621236097442
"Y_372",-2.10903910949573,-1.77933674883027
"Y_373",6.37825626045267,-3.49615680545415
"Y_374",8.31492502361954,-7.81460690601729
"Y_375",4.93354891432659,-2.05299161586399
"Y_376",-1.84465992479223,1.56762829182034
"Y_377",4.4895243505761,7.74614359210937
"Y_378",3.42265845141737,3.23377087748096
"Y_379",-1.64422451183264,1.43412775649381
"Y_380",4.58259178199753,6.30051289780355
"Y_381",-2.68950225770142,2.56129402021967
"Y_382",-4.16706659058451,-9.45773536042198
"Y_383",9.65232932985908,-3.46782122447514
"Y_384",-1.42378767343999,-0.377027241521545
"Y_385",-2.2397768186502,11.6261224023173
"Y_386",-2.19207799912074,1.76598676695882
"Y_387",-0.626132016871059,1.17192061002233
"Y_388",5.21563767787853,-4.60674762218589
"Y_389",6.14142303610412,-5.47056382770472
"Y_390",4.88467336402213,-3.02307658667768
"Y_391",-0.421664123143094,0.521710888032166
"Y_392",-0.24158792193103,0.705318017626748
"Y_393",7.16108855423777,-5.54490935755351
"Y_394",-2.53690666594134,2.49479281787246
"Y_395",4.84360592173846,-2.55331889826899
"Y_396",-5.30206395234207,-8.5613444857037
"Y_397",8.189581169021,-7.75593303574092
