"rank","gene"
437,"FUCA1"
438,"PRR9"
439,"SCARA5"
440,"KRT7"
441,"C1QA"
442,"PLN"
443,"CARMN"
444,"FBLN2"
445,"KDR"
446,"ALDH3A1"
447,"ABCA8"
448,"DPT"
449,"IDO1"
450,"RAMP2"
451,"ADGRL4"
452,"CRABP2"
453,"IFIT2"
454,"OVOL1"
455,"CDH19"
456,"ADAMTS1"
457,"AC020656.1"
458,"IGHV3-64"
459,"IGHV2-70D"
460,"LAMA3"
461,"HBG2"
462,"LAMC2"
463,"IGKV2-24"
464,"IGHV3-20"
465,"MAB21L4"
466,"SPARC"
467,"RAMP3"
468,"LINC02076"
469,"SERPINA3"
470,"SLC9A3R2"
471,"LYZ"
472,"S100A9"
473,"MYH14"
474,"CLC"
475,"SCGB3A1"
476,"FAM83A"
477,"CLEC14A"
478,"BPIFB1"
479,"CEMIP"
480,"SOX18"
481,"IGHV4-61"
482,"MSR1"
483,"SERPINE1"
484,"KRT8"
485,"IGLV3-27"
486,"GPX2"
487,"CTAG2"
488,"PLPP3"
489,"MFAP5"
490,"CAPN14"
491,"TCL1A"
492,"KRT16"
493,"CLCA4"
494,"IL36RN"
495,"ITIH5"
496,"CCDC80"
497,"CXCL3"
498,"TNF"
499,"C5orf46"
500,"HOPX"
501,"IGFL2"
502,"ADGRF1"
503,"PRSS3"
504,"TM4SF18"
505,"EFEMP1"
506,"RPTN"
507,"IGLV10-54"
508,"GJA4"
509,"BGN"
510,"SERPINB11"
511,"TRH"
512,"MUC1"
513,"IGKV1-6"
514,"IL17A"
515,"KLK9"
516,"TIMP1"
517,"GPRC5A"
518,"CKB"
519,"TOP2A"
520,"RRAD"
521,"TNFAIP6"
522,"RNF39"
523,"F3"
524,"CLEC10A"
525,"MYLPF"
526,"EGR4"
527,"CHRDL2"
528,"LTC4S"
529,"HILPDA"
530,"FBN1"
531,"LRRC17"
532,"G0S2"
533,"SCG2"
534,"MGST1"
535,"IGLV1-36"
536,"CALML3"
537,"PSORS1C2"
538,"AKR1B10"
539,"DAPL1"
540,"FCN1"
541,"PDGFRA"
542,"PLP1"
543,"IFNL1"
544,"PCOLCE"
545,"DES"
546,"DUOXA2"
547,"CLDN7"
548,"AOC1"
549,"PRG4"
550,"TPM2"
551,"KIT"
552,"SLC18A2"
553,"TGM1"
554,"JSRP1"
555,"IGHV3-53"
556,"ACTG2"
557,"IL12B"
558,"SCT"
559,"THBS1"
560,"IL10"
561,"IGHV4-31"
562,"IGFBP4"
563,"CXCL17"
564,"AL365226.2"
565,"COL5A2"
566,"CRLF1"
567,"CCNB1"
568,"IGHV1-69"
569,"AC011498.1"
570,"FCGR3A"
571,"LTB"
572,"AEBP1"
573,"DNAH5"
574,"ACP5"
575,"HIST1H4C"
576,"LMO7"
577,"IGLC6"
578,"KLK8"
579,"IGHV3-66"
580,"CNKSR3"
581,"TCIM"
582,"TCHH"
583,"PDLIM3"
584,"COL5A1"
585,"CCN3"
586,"PMEL"
587,"ECM1"
588,"EREG"
589,"NEFL"
590,"CENPF"
591,"MUC15"
592,"SCG5"
593,"COL5A3"
594,"COL4A1"
595,"CLDN1"
596,"PPBP"
597,"NNMT"
598,"BICDL2"
599,"CXCL1"
600,"GPNMB"
601,"SPRR1A"
602,"IGKV1-12"
603,"TGM2"
604,"RGS4"
605,"IGHV1-12"
606,"HSPG2"
607,"NTRK2"
608,"CCL3"
609,"WFDC1"
610,"FCGR2A"
611,"TWIST2"
612,"KRT18"
613,"IGKV1D-13"
614,"OSM"
615,"MAGEA4"
616,"ACOD1"
617,"GJB6"
618,"GPX3"
619,"CES1"
620,"TNNT3"
621,"KRTAP2-3"
622,"ELN"
623,"LAMB3"
624,"TMEM158"
625,"PRRX1"
626,"IGKV1-27"
627,"MMP8"
628,"CD24"
629,"IGHV4-4"
630,"S100A1"
631,"PMCH"
632,"FAM3B"
633,"NRG1"
634,"TM4SF19"
635,"MMP2"
636,"LOXL2"
637,"ENPP1"
638,"TMC5"
639,"CD34"
640,"MASP1"
641,"CALHM6"
642,"A2ML1"
643,"RNASE7"
644,"PLAC9"
645,"EDN2"
646,"TMEM100"
647,"CD1B"
648,"MLANA"
649,"PDGFRB"
650,"WIF1"
651,"MCAM"
652,"AP003327.2"
653,"MS4A1"
654,"AL161431.1"
655,"CH25H"
656,"CYP4B1"
657,"MARCO"
658,"DKK2"
659,"EMCN"
660,"GJB2"
661,"LCN1"
662,"ADAMTS9"
663,"CCL15"
664,"FBLN5"
665,"CCL23"
666,"A2M"
667,"GZMB"
668,"CCN1"
669,"GCNT3"
670,"ADGRF5"
671,"MRC1"
672,"NECTIN4"
673,"LGALS2"
674,"CALCRL"
675,"COL6A6"
676,"EGFL7"
677,"ACTC1"
678,"EMP1"
679,"HTRA3"
680,"MUC16"
681,"CLDN10"
682,"IL5"
683,"GNG11"
684,"TUBB2B"
685,"CA3"
686,"HMMR"
687,"TNNI2"
688,"CLEC11A"
689,"ENG"
690,"CILP"
691,"MIA"
692,"PLA2G7"
693,"FAM162B"
694,"IGKV2D-29"
695,"HSPB8"
696,"CKM"
697,"CASQ2"
698,"CD14"
699,"FMOD"
700,"AC108134.2"
701,"BMP2"
702,"AC233755.1"
703,"CLEC9A"
704,"ZNF750"
705,"HIGD1B"
706,"PLAC4"
707,"GRHL1"
708,"DSP"
709,"ASPM"
710,"CDC20"
711,"MAP1B"
712,"PTX3"
713,"IL4I1"
714,"CD163"
715,"EHF"
716,"PPDPFL"
717,"IL1A"
718,"IGHV6-1"
719,"VMO1"
720,"HAMP"
721,"MB"
722,"AICDA"
723,"TFPI"
724,"CCDC102B"
725,"SULT2B1"
726,"GNLY"
727,"TNNI1"
728,"GUCY1A1"
729,"TNN"
730,"EGLN3"
731,"CD248"
732,"DHRS2"
733,"IGLV1-41"
734,"LIF"
735,"SPRR5"
736,"MAL"
737,"C15orf48"
738,"TIMP3"
739,"PCAT19"
740,"CDH5"
741,"CPVL"
742,"LGMN"
743,"CHRNA1"
744,"CA9"
745,"FMO1"
746,"THBS2"
747,"STC2"
748,"ECSCR"
749,"HSPA6"
750,"CD300E"
751,"IGHE"
752,"NDRG2"
753,"GDF10"
754,"TMPRSS4"
755,"IGLV3-16"
756,"TTN"
757,"ARG1"
758,"F13A1"
759,"IGKV3D-11"
760,"RCAN1"
761,"TGM3"
762,"ATP12A"
763,"CALB1"
764,"TFPI2"
765,"NEB"
766,"PRSS57"
767,"TAC1"
768,"XIRP1"
769,"NTS"
770,"HSPB6"
771,"LMOD1"
772,"INHBA"
773,"CNNM1"
774,"CLEC5A"
775,"STEAP1"
776,"PLAU"
777,"TM4SF1"
778,"ANLN"
779,"PTPRB"
780,"SLC2A1"
781,"FETUB"
782,"CD68"
783,"CEACAM7"
784,"IFNA2"
785,"SERPINF1"
786,"ESAM"
787,"ALPL"
788,"ACTA1"
789,"EPPK1"
790,"RGS16"
791,"FABP5"
792,"IL17RB"
793,"CD1C"
794,"ADAMTS2"
795,"ADH7"
796,"FCRL4"
797,"TMPRSS11A"
798,"APCDD1"
799,"SLIT3"
800,"CPA4"
801,"TPPP3"
802,"CTSV"
803,"MXRA8"
804,"RDH12"
805,"KRT81"
806,"DCLK1"
807,"LY6G6C"
808,"TNC"
809,"MKI67"
810,"CALCA"
811,"TACSTD2"
812,"MS4A3"
813,"CD1E"
814,"COX4I2"
815,"P2RY13"
816,"IGFBP2"
817,"DLGAP5"
818,"TNFRSF4"
819,"CD93"
820,"LBP"
821,"RHOV"
822,"PECAM1"
823,"SDCBP2"
824,"ECRG4"
825,"OLR1"
826,"RCN3"
827,"SERPINE2"
828,"CNN1"
829,"IL17C"
830,"DEFB4B"
831,"LCE3E"
832,"LAMA4"
833,"ALDH3B2"
834,"C7"
835,"COL4A2"
836,"SPINK7"
837,"GBP6"
838,"CCL4"
839,"PPL"
840,"COL18A1"
841,"PRELP"
842,"CAV1"
843,"MUC7"
844,"IGKV2-30"
845,"GLTP"
846,"SMOC2"
847,"TNFRSF6B"
848,"TEX26-AS1"
849,"FGFBP1"
850,"NEFM"
851,"IL1RL1"
852,"IGLV4-69"
853,"CLDN17"
854,"TGFBI"
855,"DACT3"
856,"LOX"
857,"OGN"
858,"SUGCT"
859,"GAL"
860,"NRARP"
861,"FABP3"
862,"ENTHD1"
863,"PLAC8"
864,"CDH11"
865,"AVPR1A"
866,"LY6H"
867,"HES5"
868,"GUCY1A2"
869,"MYL1"
870,"WNT2"
871,"ACTN2"
872,"SORBS2"
873,"PCSK1"
874,"GZMA"
875,"COX6A2"
876,"PPP1R2C"
877,"IL13RA2"
878,"ADAMTS4"
879,"RRM2"
880,"NR2F1"
881,"BNIP5"
882,"HAS3"
883,"AL137800.1"
884,"KCNJ8"
885,"MT1B"
886,"CENPE"
887,"NR2F2"
888,"SFTA2"
889,"GCSAML"
890,"SDC4"
891,"KCNE4"
892,"NUPR1"
893,"IL1RN"
894,"KRTAP1-5"
895,"LIFR"
896,"FOLR2"
897,"TPM1"
898,"HSPB3"
899,"IGSF6"
900,"ANXA9"
901,"IGKV3D-20"
902,"DEGS2"
903,"KCTD12"
904,"SPIB"
905,"MYLK"
906,"MSMB"
907,"IL1B"
908,"CDKN3"
909,"PLA2G4D"
910,"CLDN6"
911,"CXCL2"
912,"WARS"
913,"SPDEF"
914,"ZNF385D"
915,"IGFBP6"
916,"CA2"
917,"NDRG1"
918,"PLCXD3"
919,"IL2"
920,"EML2-AS1"
921,"GPM6B"
922,"ERO1A"
923,"STMN2"
924,"LINC02244"
925,"SNCG"
926,"CAVIN2"
927,"SPRY1"
928,"ABCC9"
929,"FILIP1L"
930,"KRT79"
931,"LINC02154"
932,"TFF1"
933,"AGR3"
934,"TWIST1"
935,"ASS1"
936,"FUT3"
937,"CDK1"
938,"TMEM45B"
939,"CHRDL1"
940,"MDK"
941,"TCF23"
942,"HYAL2"
943,"CFB"
944,"COL13A1"
945,"MEG8"
946,"EBI3"
947,"TYRP1"
948,"SCD"
949,"VWA5A"
950,"AL445524.1"
951,"CTNNAL1"
952,"CCNB2"
953,"PKIB"
954,"LYVE1"
955,"PGAM2"
956,"EMILIN1"
957,"SEMA3A"
958,"DEPP1"
959,"MS4A6A"
960,"IGKV2D-28"
961,"SCGB2A1"
962,"CYP24A1"
963,"VSIG8"
964,"FAM107A"
965,"IGKV1D-43"
966,"TYMS"
967,"SLAMF9"
968,"ACKR3"
969,"CSRP3"
970,"ADRA2A"
971,"IGLV8-61"
972,"MME"
973,"KLHL41"
974,"AIF1L"
975,"LGALSL"
976,"LY6K"
977,"CRYM"
978,"SOX11"
979,"TREM2"
980,"ENPEP"
981,"KRTAP3-1"
982,"CHN1"
983,"TPX2"
984,"MS4A7"
985,"CST1"
986,"FSTL1"
987,"COL12A1"
988,"TNFSF15"
989,"DIO3"
990,"GCHFR"
991,"AKR1C3"
992,"MS4A4A"
993,"SDC2"
994,"FAM111B"
995,"SOSTDC1"
996,"PTGS2"
997,"SCGB2A2"
998,"IGHV3-73"
999,"KCNQ1OT1"
1000,"GJA1"
1001,"VWA1"
1002,"IFNA1"
1003,"SSUH2"
1004,"NR1H3"
1005,"RSAD2"
1006,"HYDIN"
1007,"LIPH"
1008,"WNT9B"
1009,"INSM1"
1010,"PAX7"
1011,"TENM2"
1012,"PLA2G2D"
1013,"GSDMA"
1014,"SOST"
1015,"SPTSSB"
1016,"C1S"
1017,"SYT8"
1018,"ADAM12"
1019,"KRTAP21-2"
1020,"WFDC5"
1021,"COL17A1"
1022,"IGFL3"
1023,"ENO3"
1024,"FAM167B"
1025,"FOLR1"
1026,"EXD3"
1027,"NPPC"
1028,"PPP1R27"
1029,"MYOC"
1030,"SOX2"
1031,"CHST9"
1032,"ARC"
1033,"PENK"
1034,"PLA2G2F"
1035,"ITGA1"
1036,"EDNRB"
1037,"CMYA5"
1038,"SLC11A1"
1039,"RAB25"
1040,"NPDC1"
1041,"MECOM"
1042,"IL20"
1043,"BIRC5"
1044,"HAO2"
1045,"CCDC144A"
1046,"IGHV3-13"
1047,"LRRC26"
1048,"ZNF185"
1049,"TCAP"
1050,"OLFML3"
1051,"OMD"
1052,"HIST1H1A"
1053,"FCN3"
1054,"MMP19"
1055,"TSPAN7"
1056,"CYBB"
1057,"CXCL8"
1058,"FBN2"
1059,"CCN4"
1060,"EEF1A2"
1061,"EFNA1"
1062,"TNNT1"
1063,"C5AR1"
1064,"HEG1"
1065,"DST"
1066,"LRRC69"
1067,"LUCAT1"
1068,"SOX17"
1069,"PERP"
1070,"PRC1"
1071,"SLCO2B1"
1072,"HELLPAR"
1073,"PLK1"
1074,"PTN"
1075,"CD36"
1076,"HMGCS1"
1077,"CEACAM1"
1078,"EPS8L1"
1079,"ECEL1"
1080,"SPNS2"
1081,"RHEX"
1082,"SLC4A1"
1083,"FEZ1"
1084,"PRCP"
1085,"MAL2"
1086,"KIF23"
1087,"CAPNS2"
1088,"ZNF114"
1089,"LINC02381"
1090,"SLC7A8"
1091,"PLOD2"
1092,"DCBLD2"
1093,"KRT6A"
1094,"ITGA2"
1095,"NOX5"
1096,"RAMP1"
1097,"NES"
1098,"KRT86"
1099,"DSG3"
1100,"ADM"
1101,"HAS1"
1102,"RASD1"
1103,"CDA"
1104,"AHNAK2"
1105,"FRZB"
1106,"AC020909.2"
1107,"IGHV4-28"
1108,"BPGM"
1109,"SLC16A10"
1110,"KRT3"
1111,"DDR2"
1112,"PDGFB"
1113,"IGFBP7"
1114,"RAB42"
1115,"FMO2"
1116,"AC090004.2"
1117,"CALD1"
1118,"MIR155HG"
1119,"MYF6"
1120,"FPR3"
1121,"ACAN"
1122,"COX7A1"
1123,"CENPA"
1124,"MPZL2"
1125,"MYOT"
1126,"EPCAM"
1127,"PDPN"
1128,"ACY3"
1129,"MYBPC2"
1130,"SRPX"
1131,"SLC34A2"
1132,"TTC9"
1133,"LINC02345"
1134,"DEPDC1"
1135,"ITGB4"
1136,"MNDA"
1137,"ATG9B"
1138,"SLC28A3"
1139,"HMGA2"
1140,"IL1R2"
1141,"LINC01405"
1142,"PLEK"
1143,"CCNA1"
1144,"FKBP10"
1145,"FMO3"
1146,"AIF1"
1147,"ANXA3"
1148,"THSD7A"
1149,"SCNN1A"
1150,"SERPINB1"
1151,"AL355312.4"
1152,"LINC01929"
1153,"VCAM1"
1154,"RASSF4"
1155,"FGL2"
1156,"COL4A2-AS2"
1157,"LINC01206"
1158,"NDC80"
1159,"ATP6V0D2"
1160,"CRISPLD2"
1161,"AC093791.1"
1162,"NOTCH3"
1163,"CTSL"
1164,"LINC01647"
1165,"PXDN"
1166,"NPY1R"
1167,"MXRA5"
1168,"IRF8"
1169,"PF4V1"
1170,"ITGB6"
1171,"UPK1B"
1172,"MMRN2"
1173,"KLRC1"
1174,"LYPD5"
1175,"CLLU1OS"
1176,"CBR3-AS1"
1177,"TMEM40"
1178,"DNASE2B"
1179,"PLEK2"
1180,"MIR205HG"
1181,"SIGLEC6"
1182,"PSG5"
1183,"NMRK2"
1184,"IL36A"
1185,"SLC15A1"
1186,"RDH10"
1187,"NUSAP1"
1188,"GSTM3"
1189,"RBP7"
1190,"HGF"
1191,"HK2"
1192,"MYCT1"
1193,"SLC7A11"
1194,"VSIG10L"
1195,"KRTAP4-8"
1196,"WFDC12"
1197,"LST1"
1198,"CD79A"
1199,"CASC19"
1200,"ST8SIA6"
1201,"CSRP2"
1202,"CAVIN4"
1203,"C1R"
1204,"COL7A1"
1205,"IGLV3-9"
1206,"C3orf80"
1207,"IL2RA"
1208,"SCG3"
1209,"LRRC38"
1210,"AC019131.3"
1211,"PROM1"
1212,"PCLAF"
1213,"CYP4Z1"
1214,"AC009630.4"
1215,"NOTCH4"
1216,"SPON1"
1217,"MUC20"
1218,"MIR3945HG"
1219,"WNT4"
1220,"GAST"
1221,"AC116345.1"
1222,"ENPP2"
1223,"LHFPL6"
1224,"TNFRSF12A"
1225,"TMEM176A"
1226,"RAET1L"
1227,"FAP"
1228,"CADM3"
1229,"RGS13"
1230,"TRIML2"
1231,"TBX2"
1232,"PKP1"
1233,"LINC01127"
1234,"GTSE1"
1235,"MEST"
1236,"FERMT1"
1237,"PLD4"
1238,"CDH2"
1239,"CDKN2B"
1240,"DENND2C"
1241,"MYPN"
1242,"NREP"
1243,"RHOJ"
1244,"SMPX"
1245,"HRNR"
1246,"HECW2"
1247,"CKS1B"
1248,"ITGA6"
1249,"LRRC15"
1250,"AMIGO2"
1251,"SPRR4"
1252,"PRRX2"
1253,"AC136616.1"
1254,"DSC3"
1255,"TRDC"
1256,"AGT"
1257,"EPHA2"
1258,"SPRY4"
1259,"TGFA"
1260,"VEGFC"
1261,"VSIG2"
1262,"CCR7"
