"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.5060395048646e-77,5.25348803705555,0.247,0.005,4.06766209868881e-73,"scB10","CARD11"
4.42290618633227e-82,5.21384763672156,0.298,0.011,1.19458273186648e-77,"scB10","BATF3"
7.15891900586588e-123,5.2002701719581,0.404,0.011,1.93355243429432e-118,"scB10","AC022613.1"
6.64916175319e-81,5.15905313853061,0.273,0.008,1.79587209791909e-76,"scB10","TRIM58"
3.13819065243656e-77,5.07043249449236,0.242,0.005,8.4759391331659e-73,"scB10","FCHO1"
1.47375870202809e-199,5.01801636479083,0.934,0.107,3.98047487830767e-195,"scB10","NNMT"
3.05962067355879e-141,5.00340973021535,0.838,0.123,8.26372947721494e-137,"scB10","FN1"
7.72341924735532e-159,4.94039933353131,0.551,0.019,2.0860183045182e-154,"scB10","NRN1"
4.27567177857446e-37,4.86368648707674,0.116,0.002,1.15481619067518e-32,"scB10","AC044810.2"
5.27683934757118e-62,4.83105202304017,0.242,0.011,1.4252215393855e-57,"scB10","FOXC2"
4.33437360603354e-50,4.81475061281138,0.207,0.011,1.1706709672536e-45,"scB10","AC004817.3"
7.00843377337429e-147,4.79347140081232,0.591,0.034,1.89290787785066e-142,"scB10","OLR1"
4.43426034109726e-72,4.78576441042717,0.268,0.011,1.19764937552696e-67,"scB10","AC119673.2"
3.33420880948787e-116,4.74431325027846,0.561,0.047,9.00536457354578e-112,"scB10","TGM2"
1.273700894788e-28,4.65591031379863,0.101,0.004,3.4401387467329e-24,"scB10","ZNF683"
1.52437132217512e-50,4.55691361077214,0.374,0.056,4.11717450406278e-46,"scB10","CSF2"
