"to_vertex","from_vertex","NA","from_UMAP_1","from_UMAP_2","to_UMAP_1","to_UMAP_2"
"Y_586","Y_305",1,-9.00650301032236,10.1366499572051,-8.8720210891996,10.2524210832305
"Y_792","Y_303",1,-4.59161205237272,2.42108604469888,-4.40969737638333,2.51541582518526
"Y_870","Y_244",1,-0.656328318903214,-9.33073073730229,-0.289814939267049,-8.67750909784683
"Y_870","Y_302",1,0.0474671738839297,-8.02278846830406,-0.289814939267049,-8.67750909784683
"Y_763","Y_301",1,0.171893528980763,-7.55771747685358,0.241041650091207,-7.07057617304838
"Y_302","Y_301",1,0.171893528980763,-7.55771747685358,0.0474671738839297,-8.02278846830406
"Y_317","Y_300",1,10.2752871968898,-2.65273273890429,10.2218265185889,-2.85760487247948
"Y_560","Y_298",1,5.9603475593771,-5.64152276580029,5.91489873373197,-5.83157203567991
"Y_389","Y_298",1,5.9603475593771,-5.64152276580029,6.14142303610412,-5.47056382770472
"Y_318","Y_205",1,6.68505091229365,6.01377286464509,6.84750138401081,5.85950812896004
"Y_318","Y_297",1,7.00504063579352,5.73890533313907,6.84750138401081,5.85950812896004
"Y_399","Y_60",1,5.26931338095779,-1.93697643742021,5.47904062544061,-1.88524971009003
"Y_399","Y_295",1,5.6969079096668,-1.89898843915432,5.47904062544061,-1.88524971009003
"Y_375","Y_245",1,4.8360171659357,-2.00168582835965,4.93354891432659,-2.05299161586399
"Y_375","Y_294",1,5.04878263730092,-2.05372058549748,4.93354891432659,-2.05299161586399
"Y_705","Y_293",1,1.24411782292407,2.65572123902999,1.62301681763622,3.06504996456469
"Y_294","Y_292",1,5.15906254046118,-2.11845918900962,5.04878263730092,-2.05372058549748
"Y_292","Y_291",1,5.01304443099497,-2.24845738499178,5.15906254046118,-2.11845918900962
"Y_292","Y_60",1,5.26931338095779,-1.93697643742021,5.15906254046118,-2.11845918900962
"Y_513","Y_290",1,-0.628358257751964,-12.6618936036605,-1.10225387895731,-12.5568807706713
"Y_513","Y_267",1,-1.29270299033447,-12.6396173445861,-1.10225387895731,-12.5568807706713
"Y_695","Y_289",1,3.88252388257292,-5.26597264116068,3.7599153869965,-5.4509884376111
"Y_737","Y_112",1,-7.58038353445434,4.4926834213616,-7.51864837348868,4.22836908971853
