"sample_id","malignant_state_cluster","malignant_state_label","gene","cell_number","percent_expressed","mean_log_normalized_expression"
"scB8","5","Basal_epithelial","MYH11",2,0,0
"scB8","5","Basal_epithelial","SASH1",2,100,0.284102657720765
"scB8","6","Basal_epithelial","COL1A1",18,16.67,0.234055636760877
"scB8","6","Basal_epithelial","EMP1",18,22.22,0.185040140908344
"scB8","6","Basal_epithelial","MYH11",18,5.56,0.0178043326989766
"scB8","6","Basal_epithelial","SASH1",18,16.67,0.0480031083002648
"scB8","8","Basal_epithelial","COL1A1",158,32.91,0.168757202018753
"scB8","8","Basal_epithelial","EMP1",158,39.24,0.227554244960509
"scB8","8","Basal_epithelial","MYH11",158,3.8,0.0116900901622053
"scB8","8","Basal_epithelial","SASH1",158,25.32,0.0929880921547894
"scB8","9","Basal_epithelial","COL1A1",19,63.16,1.61742431156546
"scB8","9","Basal_epithelial","EMP1",19,0,0
"scB8","9","Basal_epithelial","MYH11",19,0,0
"scB8","9","Basal_epithelial","SASH1",19,0,0
"scB9","10","Basal_epithelial","COL1A1",2,50,0.526806592936962
"scB9","10","Basal_epithelial","EMP1",2,0,0
"scB9","10","Basal_epithelial","MYH11",2,0,0
"scB9","10","Basal_epithelial","SASH1",2,50,0.404426254628278
"scB9","11","Basal_epithelial","COL1A1",31,45.16,0.287681299418937
"scB9","11","Basal_epithelial","EMP1",31,77.42,0.602538149368929
"scB9","11","Basal_epithelial","MYH11",31,6.45,0.0458133735741659
"scB9","11","Basal_epithelial","SASH1",31,0,0
"scB9","2","Basal_epithelial","COL1A1",840,38.57,0.150455645290107
"scB9","2","Basal_epithelial","EMP1",840,69.64,0.381628730093662
"scB9","2","Basal_epithelial","MYH11",840,7.86,0.0219692878988101
"scB9","2","Basal_epithelial","SASH1",840,17.38,0.0501869301192725
"scB9","4","Basal_epithelial","COL1A1",6,16.67,0.0271256625959735
"scB9","4","Basal_epithelial","EMP1",6,83.33,0.876698875251968
"scB9","4","Basal_epithelial","MYH11",6,0,0
"scB9","4","Basal_epithelial","SASH1",6,66.67,0.278293077228291
"scB9","5","Basal_epithelial","COL1A1",87,43.68,0.189422003206278
"scB9","5","Basal_epithelial","EMP1",87,72.41,0.397478965322111
"scB9","5","Basal_epithelial","MYH11",87,6.9,0.0206484038160607
"scB9","5","Basal_epithelial","SASH1",87,29.89,0.0953380814766608
"scB9","6","Basal_epithelial","COL1A1",9,55.56,0.166346661783635
"scB9","6","Basal_epithelial","EMP1",9,88.89,0.334646245910105
"scB9","6","Basal_epithelial","MYH11",9,0,0
"scB9","6","Basal_epithelial","SASH1",9,33.33,0.133660042142904
"scB9","7","Basal_epithelial","COL1A1",2,0,0
"scB9","7","Basal_epithelial","EMP1",2,100,1.48447217694113
"scB9","7","Basal_epithelial","MYH11",2,0,0
"scB9","7","Basal_epithelial","SASH1",2,100,0.449654875513494
"scB10","4","Basal_epithelial","COL1A1",1,100,0.0987540026071193
"scB10","4","Basal_epithelial","EMP1",1,100,0.546132813325615
"scB10","4","Basal_epithelial","MYH11",1,0,0
"scB10","4","Basal_epithelial","SASH1",1,100,0.271083225609575
"scB10","6","Basal_epithelial","COL1A1",227,43.17,0.209220055319594
"scB10","6","Basal_epithelial","EMP1",227,61.67,0.295856584004139
"scB10","6","Basal_epithelial","MYH11",227,1.76,0.00649423454803226
"scB10","6","Basal_epithelial","SASH1",227,5.73,0.0101256491933236
"scB12","1","Basal_epithelial","COL1A1",1,100,0.49858593505381
"scB12","1","Basal_epithelial","EMP1",1,100,0.102314609493305
"scB12","1","Basal_epithelial","MYH11",1,0,0
"scB12","1","Basal_epithelial","SASH1",1,0,0
"scB12","2","Basal_epithelial","COL1A1",2,50,0.33910304373528
"scB12","2","Basal_epithelial","EMP1",2,50,0.249445330787269
"scB12","2","Basal_epithelial","MYH11",2,50,0.140119715090188
"scB12","2","Basal_epithelial","SASH1",2,0,0
"scB12","4","Basal_epithelial","COL1A1",4,75,0.18885083108129
"scB12","4","Basal_epithelial","EMP1",4,75,0.207570764927549
"scB12","4","Basal_epithelial","MYH11",4,0,0
"scB12","4","Basal_epithelial","SASH1",4,0,0
"scB12","8","Basal_epithelial","COL1A1",2,100,1.35733476459703
"scB12","8","Basal_epithelial","EMP1",2,100,1.42974736251864
"scB12","8","Basal_epithelial","MYH11",2,0,0
"scB12","8","Basal_epithelial","SASH1",2,0,0
"scB12","9","Basal_epithelial","COL1A1",69,92.75,1.74748101925174
"scB12","9","Basal_epithelial","EMP1",69,56.52,0.191323609127046
"scB12","9","Basal_epithelial","MYH11",69,7.25,0.0192925026655584
"scB12","9","Basal_epithelial","SASH1",69,2.9,0.00970316426812099
"scB13","0","Basal_epithelial","COL1A1",14,0,0
"scB13","0","Basal_epithelial","EMP1",14,0,0
"scB13","0","Basal_epithelial","MYH11",14,0,0
"scB13","0","Basal_epithelial","SASH1",14,0,0
"scB13","4","Basal_epithelial","COL1A1",121,6.61,0.0875332644479031
"scB13","4","Basal_epithelial","EMP1",121,14.88,0.190386629785043
